,Profile_Category_Accessibility_Count,Profile_Category_Bathroom_Personal_Count,Profile_Category_Bedding_Comfort_Count,Profile_Category_Business_Work_Count,Profile_Category_Climate_Control_Count,Profile_Category_Essential_Tech_Count,Profile_Category_Kitchen_Dining_Count,Profile_Category_Outdoor_Recreation_Count,Profile_Category_Safety_Security_Count,Profile_Category_Transportation_Count,Profile_Category_Family_Pets_Count,price,log_price,longitude,latitude
2635,0,0,0,1,1,1,0,0,5,0,0,342.0,5.834810737062605,114.17297,22.29628
2636,0,1,3,2,1,1,5,0,2,0,0,340.0,5.8289456176102075,114.15375,22.28148
2637,1,6,3,2,2,1,8,3,1,1,1,603.0,6.401917196727186,114.21971,22.28328
2638,1,3,4,1,1,1,6,0,0,1,0,810.0,6.697034247666484,114.17465,22.3014
2639,0,0,0,2,1,1,1,1,0,0,0,730.0,6.593044534142437,114.1525629,22.2837297
2640,0,5,4,1,1,0,8,0,2,0,1,675.0,6.51471269087253,114.15234,22.28423
2641,0,0,0,2,1,1,1,0,2,0,0,495.0,6.20455776256869,114.1694522,22.3049057
2642,0,0,0,1,1,1,1,0,0,0,0,1647.0,7.4067107301776405,114.15282,22.28165
2643,0,2,4,2,1,1,0,1,0,0,0,698.0,6.548219102762372,114.1909823,22.2833596
2644,1,5,2,2,2,1,7,0,0,0,1,1040.0,6.946975992135418,114.18002,22.27969
2645,1,4,1,1,1,0,0,0,1,0,0,198.0,5.288267030694535,114.17018,22.32311
2646,1,3,2,2,2,0,6,3,3,0,0,866.0,6.763884908562435,114.15349,22.32648
2647,1,1,0,1,1,1,0,0,1,0,0,300.0,5.703782474656201,114.18541,22.28189
2648,0,1,0,1,1,1,1,1,0,0,0,1300.0,7.170119543449628,114.19366,22.28395
2649,1,3,1,1,1,1,1,0,4,0,0,511.0,6.236369590203704,114.1753096,22.2979041
2650,0,4,1,1,1,0,5,0,1,0,0,232.0,5.44673737166631,114.1675396,22.32042279
2651,0,0,0,1,1,1,1,1,0,0,0,1395.0,7.240649694255466,114.2187561,22.2294416
2652,0,0,0,1,1,1,1,0,1,0,0,675.0,6.51471269087253,114.1731712,22.27395316
2653,1,4,1,1,2,1,0,0,5,0,0,389.0,5.963579343618446,114.173,22.29679
2654,0,6,2,3,1,2,6,3,1,0,1,591.0,6.3818160174060985,114.1720916,22.30778816
2655,0,6,1,2,1,0,7,4,1,0,0,850.0,6.745236349484363,114.1472404,22.28533278
2656,1,3,5,3,2,1,5,1,3,2,0,288.0,5.662960480135946,114.1616473,22.45351635
2657,1,5,3,1,1,1,2,0,4,0,0,192.0,5.2574953720277815,114.1744438,22.29764268
2658,1,2,1,1,1,0,2,0,0,0,0,698.0,6.548219102762372,114.12673,22.28242
2659,1,5,5,2,1,0,5,3,1,0,0,325.0,5.783825182329737,114.2716961,22.29728003
2660,1,5,5,2,1,0,5,3,1,0,0,248.0,5.5134287461649825,114.270126,22.29730809
2661,0,4,2,1,1,1,8,0,1,0,0,549.0,6.3080984415095305,114.1466585,22.28554023
2662,0,0,0,1,1,1,1,0,2,0,0,918.0,6.822197390620491,114.15076,22.28654
2663,0,3,1,2,1,1,3,0,0,0,0,1158.0,7.05444965813294,114.1663073,22.44805666
2664,0,1,0,2,1,0,1,0,4,1,1,265.0,5.579729825986222,114.170773,22.30677173
2665,0,2,4,1,2,0,9,2,0,0,0,823.0,6.71295620067707,113.9806943,22.24283812
2666,0,0,0,1,1,1,0,0,4,0,0,328.0,5.793013608384144,114.1726391,22.2972567
2667,0,0,0,1,1,1,0,0,3,0,0,108.0,4.68213122712422,114.17149,22.30477
2668,1,6,5,2,1,2,9,0,2,0,0,1172.0,7.066466970136958,114.14451,22.28465
2669,0,0,0,2,1,0,1,0,1,0,0,864.0,6.761572768804055,114.12713,22.28343
2670,0,0,0,2,1,0,1,0,0,0,0,763.0,6.637258031284457,114.18613,22.33092
2671,0,0,0,1,0,1,1,0,1,1,0,450.0,6.1092475827643655,114.27012,22.2951
2672,0,6,4,2,2,2,8,0,2,0,1,326.0,5.786897381366708,114.1998243,22.29291125
2673,1,6,5,1,2,1,7,0,1,0,0,469.0,6.150602768446279,114.18544,22.28153
